Key,English [en-GB]
Message_End_Quest_Travel_Rockfall_3,"The Savvas have given me a charm, which they say may help you in the fight against their brethren."
Message_End_Quest_Travel_Sahmyrt_1,"Ah thank goodness, with the spice route back open, my food can actually start to have some flavour again!"
Message_End_Quest_Travel_Sahmyrt_2,I’ve also been able to get some important ingredients to start supplying Major Stamina Potions. Many warriors value these really highly!
Message_End_Quest_Travel_SaltmarshFlats_1,"I couldn’t wait to get into Saltmarsh Flats. I mean, a village of magicians? There was bound to be some amazing things in there!"
Message_End_Quest_Travel_SaltmarshFlats_2,Their shop was full of ancient relics and powerful items… I was just about to take a flaming sword when the owner saw me trying to blow it out so I could hide it.
Message_End_Quest_Travel_SaltmarshFlats_3,"I grabbed some boots with ‘quick’ on their label instead, put them on, and used them to escape fast."
Message_End_Quest_Travel_SaltmarshFlats_4,"They’re now in the store, and I suggest you buy them. I’m not going back for anything else."
Message_End_Quest_Travel_SchoolOfTheGreatOak_1,Advocates from the temple have supplied me with an old helmet that guards from a previous order used to wear.
Message_End_Quest_Travel_SchoolOfTheGreatOak_2,"I’m not sure why a group of healers would need to instill fear in their subjects, then again, I’ve never really understood religion as a rule."
Message_End_Quest_Travel_ScurvyBay_1,"Normally I try to steer clear of criminals, but I decided to see what these bandits had on offer — for you, of course."
Message_End_Quest_Travel_ScurvyBay_2,They just threw this Volatile Bomb at me. I’m still not quite sure whether it was a gift or a threat.
Message_End_Quest_Travel_ScurvyBay_3,"Either way, it hasn’t exploded… yet. It’s in my store, but I suggest you hurry up."
Message_End_Quest_Travel_Shaderest_1,"I’ve done a deal with a local trinket maker to make some interesting Talismans. Come and have a look, you might find them useful?"
Message_End_Quest_Travel_ShadowfieldManor_1,"I received a package by courier this morning and it had a pretty piece of jewellery in it. However, every time I look at it it turns my stomach. Probably means you’ll find a use for it!"
Message_End_Quest_Travel_ShimmeringShallows_1,I popped into town and met a friendly old fisherwife after you left.
Message_End_Quest_Travel_ShimmeringShallows_2,"Turns out, the town is in love with fishing, and she is in love with, er, me. I just about escaped with my clothes on... and a Long Spear."
Message_End_Quest_Travel_ShimmeringShallows_3,Come have a look at my store if you think you could use it.
Message_End_Quest_Travel_Silverwick_1,"You head away from the burned copse, and the journey to Silverwick passes without any more trouble."
Message_End_Quest_Travel_Silverwick_2,"Silverwick’s trade route is open once again, and the thankful villagers have given me a smart-looking helmet for you to try out."
Message_End_Quest_Travel_Silverwick_3,"I’ve been contacted by a considerable amount of villagers from Rockfall, a Savvas community to the East."
Message_End_Quest_Travel_Silverwick_4,"They are concerned that the recent occurrences are due to a group of rogue magic users who left their community for Wayward, and think that we should head there next."
Message_End_Quest_Travel_SouthShield_1,"This is it! We’ve got to the southwestern tip of the realm, and I now have access to the armourers that give South Shield its name."
Message_End_Quest_Travel_Spitepeak_1,This should ensure peace returns to the land.
Message_End_Quest_Travel_Spitepeak_2,Maybe for a whole day if we are lucky!
Message_End_Quest_Travel_Spitepeak_3,I popped into the tower after you left and picked up an interesting staff that someone left behind. Perhaps you can find a use for it?
Message_End_Quest_Travel_StaybrightFort_1,"Staybright Fort is very big and old, so I thought I’d nip in to see what treasures its basement hides."
Message_End_Quest_Travel_StaybrightFort_2,"Turns out, the damn thing is full of unstable explosives. Just… why?!"
Message_End_Quest_Travel_StaybrightFort_3,"I managed to get some out safely. I don’t know what you’ll do with it, but I’d encourage you to buy it before it explodes."
Message_End_Quest_Travel_Summerwell_1,"After resting in the cave and continuing to Summerwell, the weather was a lot milder."
Message_End_Quest_Travel_Summerwell_2,"The villagers are overjoyed that the cold snap they had experienced is over. Although, their vineyards are ruined..."
Message_End_Quest_Travel_Summerwell_3,One of the villagers sent me an ornate dagger as a thank you. You might find it useful?
Message_End_Quest_Travel_Summerwell_4,"Apparently, the Savvas have left for an ancient Savvas Temple in an extinct volcano in the mountains. We should head there next."
Message_End_Quest_Travel_Sweetwater_1,"Fortunately Sweetwater isn’t all sewer, so I had a poke around once the villagers had scrubbed the town down."
Message_End_Quest_Travel_Sweetwater_2,"I managed to find a solid helmet in a bush. It stunk worse than a Cultist’s table, but I couldn’t pass it up."
Message_End_Quest_Travel_Sweetwater_3,"Apparently it had an owner, but she slipped on some stray sewage chasing me, so I guess it's a lucky helmet. It’s in my store when you get a chance."
Message_End_Quest_Travel_TempleOfTheAcorn_1,Thank you for cleansing the temple of those vile Hounds! Our followers will soon return and get the site functional again.
Message_End_Quest_Travel_TempleOfTheAcorn_2,"As a token of our thanks, we will supply your merchant with our powerful healing potions."
Message_End_Quest_Travel_TheBarrenCoast_1,"We are now linked with the coastal traders, which means I have some access to items from across the sea. Something you might be interested in is a cool winged Helm, come have a look!"
Message_End_Quest_Travel_TheBuriedTrenches_1,"Ruins from an ancient civilisation, just freed of monsters? Of course I went back after you left, and you better be glad I did."
Message_End_Quest_Travel_TheBuriedTrenches_2,"I spotted a pair of greaves near the reservoir, and pulled them out of some questionable goo."
Message_End_Quest_Travel_TheBuriedTrenches_3,"They are MUCH heavier than they look, but are still in decent condition. Heavy means useful… right? Take a look when you can."
Message_End_Quest_Travel_TheCityOfSlate_1,"The first item dug up from the city was an amulet with healing properties, it’s now in stock. Have you ever wondered why so many corpses have a healing potion in their pockets...?"
Message_End_Quest_Travel_TheCopperOasis_1,"Some local Inox tribesman are supplying me with some of their weighted nets, perhaps you might find a use for them in combat… The nets that is, not the tribesmen."
Message_End_Quest_Travel_TheDome_1,It seems the historians have found a stash of unpleasant ritualistic knives used by the Cultists. I’m sure they’ll come in handy for someone like you...
Message_End_Quest_Travel_TheEnclave_1,"The Mayor said that one of his dogs had a strange amulet around its neck, and wondered if it might help you work out what happened."
Message_End_Quest_Travel_TheEnclave_2,"I’ve never seen it’s like before, but it seems to have some magical properties, so you might have a use for it?"
Message_End_Quest_Travel_TheHermitage_1,"He was rather apologetic, and has promised not to dabble in reanimation again, so I convinced him to change his line of research to alchemy instead .The good news is that he’s already started to supply me with a source of more powerful Mana Potions!"
Message_End_Quest_Travel_TheHole_1,"The Temple indicates two elemental focal sites in the surrounding areas, where the ancient Savvas set up altars to control the weather."
Message_End_Quest_Travel_TheHole_2,"It is likely you will find the Savvas at these locations, as well as where they are collecting their crystals from."
Message_End_Quest_Travel_TheHole_3,We should head to these locations and disable the altars. I’ve marked the locations on your map.
Message_End_Quest_Travel_TheHole_4,One of the archaeologists was so happy for the weather to have changed that she sent me an ancient shield she excavated last year. It looks to be in pretty good condition!
Message_End_Quest_Travel_ThePyre_1,"It seems that defiling the undead’s resting place was the cause of the haunting, and now they have been re-laid to rest. Military forces have left a small retinue guarding the keep again."
Message_End_Quest_Travel_ThePyre_2,The good news for us is that I know a Quartermaster who can get us a supply of Chainmail... just don’t tell his commander!
Message_End_Quest_Travel_TheShiftingSands_1,"I couldn’t resist the allure of a digsite full of rare and ancient artifacts. There was a lot more there than they told you, you know."
Message_End_Quest_Travel_TheShiftingSands_2,"I came across a very striking cloak, but I floated into the air as I put it on. It took me two hours to get down… and now I’m even scared of getting up on a horse!"
Message_End_Quest_Travel_TheShiftingSands_3,"You’ll never catch me dead in that cloak again, but I’m sure it has its uses. It’s in my store — just be careful putting it on."
Message_End_Quest_Travel_TheSloshedSquirrel_1,"The landlord was pretty happy when you arrived. Apparently the guests had run out of money, and had run up an almighty tab!"
Message_End_Quest_Travel_TheSloshedSquirrel_2,"He’s supplied me with some of his special stuff from the basement. It helps you hit harder, if you can remember what it is you are supposed to be hitting!"
Message_End_Quest_Travel_TheThorngate_1,"After talking to the villagers, it seems some of the children had entered the cave and stolen some magical artifacts the week before. This was a form of revenge."
Message_End_Quest_Travel_TheThorngate_2,"And so in retaliation, you’ve just gone in and killed all the Imps? Seems a little harsh..."
Message_End_Quest_Travel_TheThorngate_3,"So, err, let’s move on... I’ve now got some new boots in stock!"
Message_End_Quest_Travel_Toadmoor_1,"You inform the mayor of your findings and he is overjoyed, inviting you for a hearty feast in his manor."
Message_End_Quest_Travel_Toadmoor_2,"For a town as dull as Toadmoor, I’m surprised at the workmanship on the jewellery they’ve sent me. I reckon it’s magic too."
Message_End_Quest_Travel_WayfarersRest_1,"I’ve managed to do a deal with one of the local Merchants to get in a stock of Minor Mana Potions, so hit me up for one when you have some spare gold!"
Message_End_Quest_Travel_Wayward_1,"Apparently, Wayward has had problems with localized storms for a few weeks now. They're glad that you have found out the cause."
Message_End_Quest_Travel_Wayward_2,"It’s not the safest town in the land, but that’s probably why they make pretty good sets of Studded Leather Armor! Come check out my shop for a set."
Message_End_Quest_Travel_Wayward_3,"I’ve asked around, and apparently, a group of Savvas did come into town."
Message_End_Quest_Travel_Wayward_4,"They spent time visiting the Savvas Enclave in Wayward, but were quickly dismissed when they mentioned their plans."
Message_End_Quest_Travel_Wayward_5,"I've been told that they then headed east to Summerwell, with a few extra stragglers in tow."
Message_End_Quest_Travel_Wildspire_1,"I hoped that the town would reward us with some powerful weapons, but it seems they make fashionable jewelry for more alternative types."
Message_End_Quest_Travel_Wildspire_2,"That said, this earring does seem to have some magical properties."
Message_End_Travel_BlackrockAsylum_1,"As the Armoury was badly damaged, the Asylum passed me one of their bigger weapons."
Message_End_Travel_BlackrockAsylum_2,"Although why an Asylum needs a massive sword like this, I probably don’t want to know."
Message_End_Travel_BoneshatterPass_1,The monks of Boneshatter Pass are overjoyed that the path has been cleared and have given me some of their fabulous footwear!
Message_End_Travel_MistfellCopse_1,One of the villagers from Mistfell Copse gave me an ancestral blade as a token of thanks. Take a look when you can!
Message_Rewards_Quest_Story_4A_1,"Ah, the joyous sound of gold coins in the pocket! But what to invest it in? Perhaps I should get some <nobr><b><font=""MarcellusAlt SDF""><color=#F8F8F8>Minor Mana Potion</color></font></b></nobr>s back in stock..."
Message_Start_Quest_Boss_BanditCommander_1,"The boxes recovered from the Mindthief’s nest contain some of the artifacts looted from the three Savvas shrines, but also from a fourth location."
Message_Start_Quest_Boss_BanditCommander_2,"Look, this sigil here is clearly from the Shrine of Ashes. They have found it!"
Message_Start_Quest_Boss_BanditCommander_3,That crate has markings from a shipping company out of Wildspire. I’d bet my hat the shrine is nearby!
Message_Start_Quest_Boss_BanditCommander_4,But you don’t appear to be wearing a hat?
Message_Start_Quest_Boss_BanditCommander_5,My Ma told me to never make a bet I couldn’t afford to lose!
Message_Start_Quest_Boss_CaptainOfTheGuard_1,"So, looks like we have human mercenary groups across Demonsgate attacking other races, and at least one of them has infiltrated the guard. Great."
Message_Start_Quest_Boss_CaptainOfTheGuard_2,"Hang on… wasn’t one group paid by crates from an Old Financial District warehouse, and didn’t the Captain of The Guard want to meet at a warehouse there? "
Message_Start_Quest_Boss_CaptainOfTheGuard_3,You’re right — and I dug into it a little further. The crates' sigil matches the sigil of the Old District warehouse the City Guard purchased. Looks like things go much deeper than we thought.
Message_Start_Quest_Boss_CaptainOfTheGuard_4,I say we prepare for a trap and confront the Captain of The Guard about this at the warehouse. Bring your best gear — we must assume he’s behind all of this. 
Message_Start_Quest_Boss_CaptainOfTheGuard_5,"If you plan on bringing your best gear, you had better plan on coming back with it..."
Message_Start_Quest_Boss_CaptainOfTheGuard_6,One last thing. The Plagueherald reckons it’s perfected a first dose of its cure-all. It would like to try it on you before you leave.
Message_Start_Quest_Boss_CaptainOfTheGuard_7,"Well, better you than me. That thing is not coming near me! "
Message_Start_Quest_Boss_DarkRider_1,"I was thinking, after the amount of evil plots we’ve foiled in and around Demonsgate, our mercenaries might actually have finished their training."
Message_Start_Quest_Boss_DarkRider_2,"Ironic, seeing as there’s been no new contracts for a while now. It’s like we’ve emptied Demonsgate of its evil. Maybe I’ll rebrand us as a gardening company to keep the money com– "
Message_Start_Quest_Boss_DarkRider_3,A violent tremor shakes the Guild hall.
Message_Start_Quest_Boss_DarkRider_4,What was that? Where did that draft come from? What happened to the lamps?<br>
Message_Start_Quest_Boss_DarkRider_5,Hmm… did you forget to pay the oil and firewood bills again?
Message_Start_Quest_Boss_DarkRider_6,What? No! The gold coins I gave the city are the best fakes I’ve ever produ–
Message_Start_Quest_Boss_DarkRider_7,Enough games! You and your mercenaries will fall!
Message_Start_Quest_Boss_DarkRider_8,That voice is in here with us! How did it get in?
Message_Start_Quest_Boss_DarkRider_9,"Well, it looks like we have our next contract at least... "
Message_Start_Quest_Boss_HighCultist_1,"Now the Spellweaver has the ‘boon’, whatever that is, we should plan the assault on the Cult headquarters."
Message_Start_Quest_Boss_HighCultist_2,But how do we know where it is?
Message_Start_Quest_Boss_HighCultist_3,The Sun Demon could have been trying to communicate. Perhaps where it burnt the map?
Message_Start_Quest_Boss_HighCultist_4,"To the North of Bloodford, in the swamps? I guess that’s where we go then?"
Message_Start_Quest_Boss_InoxBodyguard_1,You now have both the location of the Traitor’s base and the means to get into it. Prepare yourself for a fight!
Message_Start_Quest_Boss_Jekserah_1,Has anyone tried maybe… slotting the two hemi-thingies together? Into a sphere?
Message_Start_Quest_Boss_Jekserah_2,Intriguing… They fit together perfectly. The inscription has interlocked:
Message_Start_Quest_Boss_Jekserah_3,"‘Your demise opens as a neck, but with the start of joy. It ends a Seraph, without the beginning of pride. Come forth, have your body join my employ, And see all who oppose the new queen subside.’"
Message_Start_Quest_Boss_Jekserah_4,"Those drawings… they form a map! It leads to the Sewers of Demonsgate. Whatever that riddle means, I’m sure our thief and Demon conjurer will be there. Let’s go."
Message_Start_Quest_Boss_MercilessOverseer_1,Where was that side entrance on the cave plan again?
Message_Start_Quest_Boss_MercilessOverseer_2,"It opens out into a holding area, near the cave’s main chamber."
Message_Start_Quest_Boss_MercilessOverseer_3,Is there any chance that it could be a holding area for newly-kidnapped Vermlings?
Message_Start_Quest_Boss_MercilessOverseer_4,Maybe… Do you think the Sunkeeper’s key may be for that door?
Message_Start_Quest_Boss_MercilessOverseer_5,"It’s worth a try, isn’t it?"
Message_Start_Quest_Boss_SightlessEye_1,"The Nightshroud’s research is complete, he’s told me the origin of the rot will be the creature at its centre."
Message_Start_Quest_Boss_SightlessEye_2,That would be south near Obsidian Bluff then?
Message_Start_Quest_Boss_SightlessEye_3,"He also believes that these creatures partly communicate through excretions, and that it’s nest will only be revealed if we are able to replicate them."
Message_Start_Quest_Boss_SightlessEye_4,I don’t think I’ve ever heard anything so disgusting…
Message_Start_Quest_Boss_SightlessEye_5,"The Potion I have created from the Deep Terrors may help us here, we should head to Obsidian Bluff."
Message_Start_Quest_Boss_UndeadCommander_1,"You know what, this angry skeletal chap sounds a lot like a certain hero that the Elementalist has been researching"
Message_Start_Quest_Boss_UndeadCommander_2,"Swagger? So he did come back from the demonic realm, but then got trapped in Cursekeep?"
Message_Start_Quest_Boss_UndeadCommander_3,"Hmm, sounds best if we head that way and investigate?"
Message_Start_Quest_Boss_WingedHorror_1,"The Harrowers and Inox seemingly worked together at the Saltmarsh Flats. Without that village’s healing resources, the School will struggle to stop the Harrowers spreading endless disease as the Inox reclaim their homeland from humanity. "
Message_Start_Quest_Boss_WingedHorror_2,"The School’s dealt with worse. It’s still standing, right? With our help, I’m sure it’ll manage to overcome whatever death and disease the Inox and Harrowers create."
Message_Start_Quest_Boss_WingedHorror_3,Bring your Guild’s mercenaries quickly! A flying demonic beast is attacking The School of The Great Oak! 
Message_Start_Quest_Boss_WingedHorror_4,"Wait... the School IS still standing, right?!"
Message_Start_Quest_Boss_WingedHorror_5,"Yes, but it can’t take much more. Hurry – without it, no healers will be left to stop the Red Talons eradicating humanity from Demonsgate with death and disease."
Message_Start_Quest_Boss_WingedHorror_6,That demon I saw at the Saltmarsh Flats – they must have needed the village’s dying magic to summon this winged “Horror” so it can slaughter Demonsgate’s remaining healers!
Message_Start_Quest_Boss_WingedHorror_7,"Well, it looks like we have no choice but to save the School. We better still get paid though."
Message_Start_Quest_Travel_Keyport_1,"Right, time to take the battle to Keyport."
Message_Start_Quest_Travel_Keyport_2,We'll send a small force by land while our allies go in via ship from the rear.
Message_Start_Quest_Travel_Mudview_1,"There are too many troops to the north, we'll have to get help from elsewhere."
Message_Start_Quest_Travel_Mudview_2,"I suggest contacting the Mayor of Mudview, she's always had a wise head on her shoulders."
Message_Start_Quest_Travel_Rockfall_1,"With both temples out of action, the Savvas should now be vulnerable to an assault... if we could find out where their base is."
Message_Start_Quest_Travel_Rockfall_2,"Hold on, I’ve just got a missive from Rockfall. They are under attack!"
Message_Start_Quest_Travel_Rockfall_3,"Then the Savvas must be nearby, using their own abilities rather than the crystals."
Message_Start_Quest_Travel_ShimmeringShallows_1,"We've got the troops and the weapons, but how do we get them to Keyport?"
Message_Start_Quest_Travel_ShimmeringShallows_2,"A ground attack would be crazy, we need to get them in via sea."
Message_Start_Quest_Travel_ShimmeringShallows_3,"Let's take the port at Shimmering Shallows, the Council won't expect that!"
Message_Unlock_BeastTyrant_1,It seems embracing abilities that aid your allies has brought the Beast Tyrant to your Guild!
Message_Unlock_BeastTyrant_2,He is now available to add via the character menu.
Message_Unlock_Berserker_1,Your love of pain has attracted the Berserker to our Guild!
Message_Unlock_Berserker_2,She is now available to add via the character menu.
Message_Unlock_Doomstalker_1,Your intelligent use of traps has brought the Doomstalker to our Guild!
Message_Unlock_Doomstalker_2,He is now available to add via the character menu.
Message_Unlock_Elementalist_1,"Your mastery of the Elements has attracted a new Hero, the Elementalist!"
Message_Unlock_Elementalist_2,They are now available to add via the character menu.
Message_Unlock_Nightshroud_1,Your use of the Element of Dark has brought the Nightshroud to our Guild!
Message_Unlock_Nightshroud_2,He is now available to add via the character menu.
Message_Unlock_Plagueherald_1,The amount of Poison you have created has attracted the Plagueherald to our Guild!
Message_Unlock_Plagueherald_2,He is now available to add via the character menu.
Message_Unlock_Quartermaster_1,Your use of Items has brought the Quartermaster to our Guild!
Message_Unlock_Quartermaster_2,He is now available to add via the character menu.
Message_Unlock_Sawbones_1,It seems someone has noticed you may need some help staying alive!
Message_Unlock_Sawbones_2,The Sawbones is now available to add via the character menu.
Message_Unlock_Soothsinger_1,"Your deeds have attracted a new mercenary, the Soothsinger!"
Message_Unlock_Soothsinger_2,She is now available to add via the character menu.
Message_Unlock_Summoner_1,Collecting parts of a wide number of enemies has brought the Summoner to our Guild!
Message_Unlock_Summoner_2,She is now available to add via the character menu.
Message_Unlock_Sunkeeper_1,Your use of the Element of Light has brought the Sunkeeper to our Guild!
Message_Unlock_Sunkeeper_2,She is now available to add via the character menu.
Millpond,Millpond
Mindthief,Mindthief
Mindthief_ADVENTURE_DESCRIPTION,"Mindthieves make terrifying opponents through the use of psychic assaults, sharp blades, and swarms of tiny teeth.<br>The Mindthief has a unique Augment system, allowing her to add effects to all of her melee attacks, and later her ranged also. She additionally can control enemies and summon minions to give access to a lot of different gameplay options. Be wary of her low health, however."
Mindthief_DESCRIPTION,"Mindthieves make terrifying opponents through the use of psychic assaults, sharp blades, and swarms of tiny teeth."
Mindthief_DIFFICULTY,High
Mindthief_ROLE,Melee Damage
Mindthief_SKIN_ALT,Witch Doctor
Mindthief_STRENGTHS,- <indent=%15>Powerful Augment effects on melee attacks</indent><br>- <indent=%15>Mind-control powers</indent><br>- <indent=%15>Access to summons</indent>
Mindthief_WEAKNESSES,- <indent=%15>Fragile melee character</indent><br>- <indent=%15>Managing Augments can be fiddly</indent><br>- <indent=%15>Often confused for a giant rat</indent>
MistfellCopse,Mistfell Copse
MistfellCopse_DESCR,This small patch of woodland has a great view of the East Road from Gloomhaven. Rubbish and burned embers lay testament to the others that have used this location in the past.
MistySea,Misty Sea
MoneyToken,MoneyToken
Monolith,Monolith
MonstrousRat,Monstrous Rat
Move,Move
MoveCost,Move Cost
Move_StraightLine,The movement must be in a straight line.
Movement,Movement
Muddle,MUDDLE
MuddleShort,MUDDLE
Mudview,Mudview
Mudview_DESCR,"At the confluence of three rivers sits Mudview, a community of bog farmers cutting slabs of peat and carting them off to various cities to sell as fuel. For such an unpleasant location, the people living here look happy and healthy."
MysticAlly,Mystic Ally
NO,No
NailSphere,Nail Sphere
NarratorDialogName,Narrator
Nasitra,Nasitra
Nasitra_DESCR,"Translated from the Valrath for 'Sweetwater', it was named for the clear river flowing down from the Watcher mountains, and is a hub for the barges that travel down from Kailehj to the sea. Nasitra is also famed for its high quality wands."
NightDemon,Night Demon
NightDemonElite,Night Demon Elite
Nightshroud,Nightshroud
Nightshroud_ADVENTURE_DESCRIPTION,"With the ability to cloak themselves in shadow and pass through the world unseen, Nightshrouds are deadly stalkers, using blades and stealth to eliminate any target. Rather than working with other races to gather knowledge, Nightshrouds prefer to pry the knowledge from their cold, dead fingers."
Nightshroud_DIFFICULTY,Medium
Nightshroud_ROLE,Melee Damage
Nightshroud_STRENGTHS,- <indent=%15>Powerful execution abilities</indent><br>- <indent=%15>Can use Invisibility to avoid damage</indent><br>- <indent=%15>Uses Dark to enhance his abilities</indent>
Nightshroud_WEAKNESSES,- <indent=%15>Poor ranged options</indent><br>- <indent=%15>Doesn't assist allies much</indent><br>- <indent=%15>Finds making friends difficult</indent>
NomadCamp,Nomad Camp
NomadCamp_DESCR,"At the southern edge of the desert, a small Valrath camp lies deserted. This is a place reclaimed by the desert, used by the wandering nomads to take a rest from the unremitting heat."
Normal,Normal
OBJECTIVE_TILE_TOOLTIP,Stand here as part of an objective.
OBSTACLE_TOOLTIP,Obstacle
OVERWRITE_EXISTING_LOCAL_SAVE,This save is owned by another user.  A local save with this name already exists.  Do you want to overwrite the existing local save with the state from the selected save?
OVERWRITE_SAVE_BUTTON,Overwrite Local Save
OVERWRITE_SAVE_TITLE,Overwrite Local Save
ObsidianBluff,Obsidian Bluff
ObsidianBluff_DESCR,"From your vantage point high in the mountains, you have a great view down to Kailehj and the desert to the north."
Obstacle,Obstacle
OldHut,Old Hut
OnDeath,On death:
OneHexObstacle,One Hex Obstacle
Ooze,Ooze
OozeElite,Ooze Elite
OozingDepths,Oozing Depths
OvergrownMausoleum,Overgrown Mausoleum
Overheal,Overheal
OverrideAugmentAttackType,Apply Augments to Attacks
PERK_BeastTyrant_01,Consistency
PERK_BeastTyrant_01_Desc,"Remove two <color=""purple"">-1</color> cards"
PERK_BeastTyrant_02,Focus
PERK_BeastTyrant_02_Desc,"Replace one <color=""purple"">-1</color> card with a <color=""orange"">+1</color> card"
PERK_BeastTyrant_03,Heighten
PERK_BeastTyrant_03_Desc,"Replace one <color=""orange"">+0</color> card with a <color=""orange"">+2</color> card"
PERK_BeastTyrant_04,Lacerate
PERK_BeastTyrant_04_Desc,"Add one <color=""orange"">+1</color> WOUND <sprite name=Wound> card"
PERK_BeastTyrant_05,Hobble
PERK_BeastTyrant_05_Desc,"Add one <color=""orange"">+1</color> IMMOBILIZE <sprite name=Immobilize> card"
PERK_BeastTyrant_06,Recover
PERK_BeastTyrant_06_Desc,Add two <sprite name=Rolling> Heal <sprite name=Heal> 1 cards
PERK_BeastTyrant_07,Verdant
PERK_BeastTyrant_07_Desc,Add two <sprite name=Rolling>  <sprite name=Earth> cards
PERK_BeastTyrant_08,Resilient
PERK_BeastTyrant_08_Desc,Ignore negative scenario effects
PERK_Berserker_01,Consistency
PERK_Berserker_01_Desc,"Remove two <color=""purple"">-1</color> cards"
PERK_Berserker_02,Dust
PERK_Berserker_02_Desc,"Remove four <color=""orange"">+0</color> cards"
PERK_Berserker_03,Focus
PERK_Berserker_03_Desc,"Replace one <color=""purple"">-1</color> card with a <color=""orange"">+1</color> card"
PERK_Berserker_04,Overkill
PERK_Berserker_04_Desc,"Replace one <color=""orange"">+0</color> card with one <sprite name=Rolling> <color=""orange"">+2</color> card"
PERK_Berserker_05,Bloodletting
PERK_Berserker_05_Desc,Add two <sprite name=Rolling> WOUND <sprite name=Wound> cards
PERK_Berserker_06,Bludgeon
PERK_Berserker_06_Desc,Add one <sprite name=Rolling> STUN <sprite name=Stun> card
PERK_Berserker_07,Subdue
PERK_Berserker_07_Desc,"Add one <sprite name=Rolling> <color=""orange"">+1</color> DISARM <sprite name=Disarm> card"
PERK_Berserker_08,Recover
PERK_Berserker_08_Desc,Add two <sprite name=Rolling> Heal <sprite name=Heal> 1 cards
PERK_Berserker_09,Cinder
PERK_Berserker_09_Desc,"Add one <color=""orange"">+2</color> <sprite name=Fire> card"
PERK_Berserker_10,Endurance
PERK_Berserker_10_Desc,Ignore negative item effects
PERK_Brute_01,Consistency
PERK_Brute_01_Desc,"Remove two <color=""purple"">-1</color> cards"
PERK_Brute_02,Focus
PERK_Brute_02_Desc,"Replace one <color=""purple"">-1</color> card with a <color=""orange"">+1</color> card"
PERK_Brute_03,Power
PERK_Brute_03_Desc,"Add two <color=""orange"">+1</color> cards"
PERK_Brute_04,Outburst
PERK_Brute_04_Desc,"Add one <color=""orange"">+3</color> card"
PERK_Brute_05,Thrust
PERK_Brute_05_Desc,Add three <sprite name=Rolling> <nobr>PUSH <sprite name=Push> 1 cards
PERK_Brute_06,Stab
PERK_Brute_06_Desc,Add two <sprite name=Rolling> PIERCE <sprite name=Pierce> 3 cards
PERK_Brute_07,Bludgeon
PERK_Brute_07_Desc,Add one <sprite name=Rolling> STUN <sprite name=Stun> card
PERK_Brute_08,Pacify
PERK_Brute_08_Desc,Add one <sprite name=Rolling> DISARM <sprite name=Disarm> card and one <sprite name=Rolling> MUDDLE <sprite name=Muddle> card
PERK_Brute_09,Sweep
PERK_Brute_09_Desc,Add one <sprite name=Rolling> ADD TARGET <sprite name=Target> card
PERK_Brute_10,Bulwark
PERK_Brute_10_Desc,"Add one <color=""orange"">+1</color> Shield <sprite name=Shield> 1, Self card"
PERK_Brute_11,Fortitude
PERK_Brute_11_Desc,"Ignore negative item effects and add one <color=""orange"">+1</color> card"
PERK_Cragheart_01,Dust
PERK_Cragheart_01_Desc,"Remove four <color=""orange"">+0</color> cards"
PERK_Cragheart_02,Focus
PERK_Cragheart_02_Desc,"Replace one <color=""purple"">-1</color> card with a <color=""orange"">+1</color> card"
PERK_Cragheart_03,Savage
PERK_Cragheart_03_Desc,"Add one <color=""purple"">-2</color> card and two <color=""orange"">+2</color> cards"
PERK_Cragheart_04,Hobble
PERK_Cragheart_04_Desc,"Add one <color=""orange"">+1</color> IMMOBILIZE <sprite name=Immobilize> card"
PERK_Cragheart_05,Daze
PERK_Cragheart_05_Desc,"Add one <color=""orange"">+2</color> MUDDLE <sprite name=Muddle> card"
PERK_Cragheart_06,Barge
PERK_Cragheart_06_Desc,Add two <sprite name=Rolling> <nobr>PUSH <sprite name=Push> 2 cards
PERK_Cragheart_07,Verdant
PERK_Cragheart_07_Desc,Add two <sprite name=Rolling>  <sprite name=Earth> cards
PERK_Cragheart_08,Cobalt
PERK_Cragheart_08_Desc,Add two <sprite name=Rolling>  <sprite name=Air> cards
PERK_Cragheart_09,Endurance
PERK_Cragheart_09_Desc,Ignore negative item effects
PERK_Cragheart_10,Resilient
PERK_Cragheart_10_Desc,Ignore negative scenario effects
PERK_Doomstalker_01,Consistency
PERK_Doomstalker_01_Desc,"Remove two <color=""purple"">-1</color> cards"
PERK_Doomstalker_02,Ambition
PERK_Doomstalker_02_Desc,"Replace two <color=""orange"">+0</color> cards with two <color=""orange"">+1</color> cards"
PERK_Doomstalker_03,Technique
PERK_Doomstalker_03_Desc,"Add two <sprite name=Rolling> <color=""orange"">+1</color> cards"
PERK_Doomstalker_04,Daze
PERK_Doomstalker_04_Desc,"Add one <color=""orange"">+2</color> MUDDLE <sprite name=Muddle> card"
PERK_Doomstalker_05,Taint
PERK_Doomstalker_05_Desc,"Add one <color=""orange"">+1</color> POISON <sprite name=Poison> card"
PERK_Doomstalker_06,Lacerate
PERK_Doomstalker_06_Desc,"Add one <color=""orange"">+1</color> WOUND <sprite name=Wound> card"
PERK_Doomstalker_07,Hobble
PERK_Doomstalker_07_Desc,"Add one <color=""orange"">+1</color> IMMOBILIZE <sprite name=Immobilize> card"
PERK_Doomstalker_08,Blind
