Keys,"Солов'їна [ua-UA]"
Quest_Campaign_007_INTRO_GH_5,"Вона окидає вас крижаним поглядом.<br>- То що вам треба? Тільки швидко.<br>Ви пояснюєте їй ситуацію і додаєте, що вам потрібно відшукати Джексеру, де б та не ховалася."
Quest_Campaign_007_INTRO_GH_6,"У кришталеву кулю для вас глянути, чи що?"" фиркає Хурделиця. ""Ну, тоді нам пощастило. Хоча, скоріше, це мені пощастило. Тут знадобиться кус-корінь, а він у мене скінчився буквально минулого тижня. Якраз подумувала піти набрати ще, але з набагато більшою готовністю пошлю по нього вас."" Хуртовина зі значенням розводить руками. ""Ось так, і всі у виграші! Крім хіба що клятих лісових бісів, які обсіли мою улюблену ділянку. Дуже сподіваюся, що після вас їх стане там поменше."
Quest_Campaign_007_INTRO_GH_7,"До вас на долоню падає невелика карта, і за помахом руки Хуртовини вас виносить за двері. ""Коли повернетеся, не забудьте подзвонити в дзвіночок і почекати рівно сорок сім секунд, перш ніж увійти"
Quest_Campaign_007_LIST,"Добийтеся допомоги Хурделиці"
Quest_Campaign_007_NAME,"07 Квітучий грот"
Quest_Campaign_007_OUTRO_GH_1,"Ви дзвоните в дзвіночок і терпляче чекаєте цілу хвилину, перш ніж перетнути поріг. Хуртовини поблизу не видно, тож ви її кличете, ось тільки господиня не поспішає зустрічати гостей."
Quest_Campaign_007_OUTRO_GH_2,"Коли ж Хурделиця нарешті з'являється по той бік розколотої барної стійки, вона видається щиро здивованою вашим приходом ""Ніяк, у вас із собою кус-корінь? Подумати тільки, я якраз хотіла набрати ще, а то мої запаси вичерпалися минулого тижня"
Quest_Campaign_007_OUTRO_GH_3,"Ви збентежено дивитеся одне на одного.<br><br>""Ой, це я вас за ним послала, чи що?"" Хуртовина чухає в потилиці. ""Точно, згадала, кришталева куля. Давайте сюди корінці."
Quest_Campaign_007_OUTRO_GH_4,"Ви передаєте їй важкі мішки. ""Так, нагадайте-но трохи, у чому там справа? Джексера? Валратка? Такого приблизно зросту? Торгівка, що пробавляється некромантією? У червоному плащі й у золоті з голови до кінчика хвоста? Не повинно викликати труднощів."
Quest_Campaign_007_OUTRO_GH_5,"Хуртовина зникає разом із коренем, і ви чуєте з верхнього поверху слабке постукування."
Quest_Campaign_007_OUTRO_GH_6,"Нарешті вона з'являється знову, тримаючи в руках вимазаний товченим клейким кус-корнем пергамент. ""Кулі в мене немає, тож тримайте карту. Вона покаже, де ховається Джексера."
Quest_Campaign_007_OUTRO_GH_7,"Ви неохоче берете з її рук брудний пергамент. ""Можна було б, звісно, і зчистити кус-корінь, але я вирішила, що так чарівніше."
Quest_Campaign_008_DESC,"Виконайте доручення таємничої фігури..."
Quest_Campaign_008_INTRO,"Ви сподівалися, що склад давним-давно занедбаний, але з подивом виявляєте, що там повно нежиті. Що ж, це прояснює плани Джексери: вона явно пустила в хід відібраний вами у грабіжників сувій, щоб підняти мертвих і НАПОВНИТИ ними місто. Час укласти їх назад у могили."
Quest_Campaign_008_INTRO_TRAVEL_1,"З настанням сутінків ви, дотримуючись вказівок своєї загадкової знайомої, підкрадаєтеся до складу, де ховається Джексера. Якщо пощастить, вам вдасться розкрити її задум і перешкодити йому."
Quest_Campaign_008_LIST,"Вистежити Джексеру"
Quest_Campaign_008_NAME,"08 Склад Похмурої гавані"
Quest_Campaign_008_Outro_GH_1,"Вона втекла від нас,"" пересмикнувши плечима, зізнається стражниця Аргіз. ""Хоч би як нам хотілося, щоб вона перестала сіяти тут смуту, ми більше нічого не можемо зробити. Я не маю наміру ганятися за нею по лісах і болотах."
Quest_Campaign_008_Outro_GH_2,"Аргіз на мить задумалася. ""Спробуйте-но удачі з естеркою-заклинателькою, - пропонує вона. ""Якщо зумієте її вмовити, то за допомогою своєї магії вона напевно вивідає, де ховається цей боягузливий щур."
Quest_Campaign_009_DESC,"Впорайтеся зі ""зловісними"" махінаціями"" за ""значну нагороду"
Quest_Campaign_009_INTRO,"Плюнувши на застереження Аргіз, ви вирушаєте до алмазної шахти. Хоча згадка про ""більш розумну силу"" вас і стривожила, та частина фрази, де йшлося про ""щедру винагороду"", змушувала серце битися частіше від передчуття, а не від страху.<br><br>У сирій підземній печері ви очікували зустріти хіба що зграю розпатланих вермлінгів, з якими можна розібратися за дві секунди. Чого ви вже точно не чекали, то це зграї розлючених гончаків біля входу. Н-так, пошуки алмазу можуть виявитися не таким вже й рядовим завданням."
Quest_Campaign_009_LIST,"Знайдіть алмаз для Джексери"
Quest_Campaign_009_NAME,"09 Алмазна шахта"
Quest_Campaign_009_Outro_GH_1,"Її вірні пси проводжають вас усередину особняка. Господиня будинку, куди більш похмура і скуйовджена, ніж зазвичай, уже чекає не дочекається."
Quest_Campaign_009_Outro_GH_2,"Чудово!"" Натомість алмазу ви отримуєте важкий гаманець із монетами. ""Він чудово підійде для ПОСИЛЕННЯ заклинань. Цікаво, самі культисти знали, який скарб був у них під самим носом? Завдяки йому я зможу закликати цілу армію нежиті!"
Quest_Campaign_009_Outro_GH_3,"Вона повертається до мене з дивним блиском в очах. ""Ну що? Готові покласти край безчинствам військових у Похмурій гавані й передати владу над містом гільдії торговців? Чи кишка тонка для серйозних змін?"
Quest_Campaign_010_DESC,"Досліджуйте те, що може, а що ні лежати за межами"
Quest_Campaign_010_INTRO,"Перед очима все пливе. Кошмарний крик пронизує ваші вуха. Ви відчуваєте, що ваші кінцівки розтягуються, немов всесвіт намагається розірвати вас.<br><br>А потім усе припиняється. Розплющивши очі, ви бачите, що стоїте на твердому ґрунті, але навколо витають дивні вихори стихійної енергії: вогонь упереміш із льодом.<br><br>Перевівши дух, ви озираєтеся і з полегшенням бачите позаду себе порожнечу на кшталт тієї, що привела вас у це місце."
Quest_Campaign_010_LIST,"Увійдіть у портал"
Quest_Campaign_010_NAME,"10 Вимірювання сили стихій"
Quest_Campaign_011_DESC,"Дайте Джексері та торговцям контроль над Похмурою Гаванню - знищивши військових..."
Quest_Campaign_011_INTRO,"То як? Готові взяти долю міста у свої руки?"" Ви урочисто киваєте.<br><br>""Що ж, моя армія готова. Уперед, до Примарної фортеці!"" Раптовий шум у вестибюлі перериває бесіду. Вбігши всередину, ви бачите загін солдатів і трупи іноксів-охоронців Джексери.<br><br>""Баста!"" Аргіз націлює на вас арбалет. ""Я вас попереджала. Ви хоч уявляєте, що зараз почнеться в місті через вас?""<br><br>""Пізно!"" фиркає Джексера з-за ваших спин. ""Нас не зупинити! Моя армія вже в місті, і з кожним загиблим стражником вона зростатиме."
Quest_Campaign_011_INTRO_GH_1,"План Джексери жахливий, але в якомусь збоченому сенсі не позбавлений раціональності. Бачили ви цих ""вартових миру і спокою"" на стінах: їм і вермлінги - могутні супротивники, а вже жадібність, з якою вони здирають з вас три шкури податками, не знає меж."
Quest_Campaign_011_INTRO_GH_2,"З жахливою армією нежиті торговці оберігатимуть Похмуру гавань від зовнішніх загроз і доб'ються її процвітання."
Quest_Campaign_011_INTRO_GH_3,"Ви вирушаєте до Джексера, щоб підготуватися до захоплення Похмурої гавані."
Quest_Campaign_011_LIST,"Знищіть стражників"
Quest_Campaign_011_NAME,"11 Площа Похмурої гавані А"
Quest_Campaign_012_DESC,"Зупиніть Джексеру від повалення військових і царювання над Похмурою Гаванню"
Quest_Campaign_012_INTRO,"Ви мчите щодуху через площу Похмурої гавані до Примарної фортеці. Біля воріт вас зупиняє варта, і ви плутано розповідаєте про загрозу, що нависла над усіма. Зневірившись домогтися від них користі, ви моторно розштовхуєте стражників ліктями, шукаючи очима головного над ними.<br><br>""Тьху ти, провал!"" лається він, вислухавши суть плану Джексери. ""Потрібно негайно виступити проти некромантки!"" Кімнату наповнює дзенькіт сталі об сталь, а за мить лунають крики.<br><br>""Прокляття, вони вже тут!"" Двері відчиняються, і в кімнату ввалюється натовп живих мерців. ""До бою! Смерть їм!"
Quest_Campaign_012_INTRO_GH_1,"Поки Джексера викладає свій план, ви повільно задкуєте до виходу. Захищати це місто з армією нежиті - дурість, і до того ж божевільна! Не можна віддавати місто у владу безпринципної некромантки!"
Quest_Campaign_012_INTRO_GH_2,"Несподівано Джексера замовкає на середині фрази. ""У чому справа?"" похмуро запитує вона. ""Ви ніяк надумали піджати хвости? Зараз, коли мета так близька?! І так уже багато хто поліг, убитий вами в ім'я моїх цілей. Хіба ще кілька трупів щось змінять?"
Quest_Campaign_012_INTRO_GH_3,"Ви кидаєтеся до дверей. Її кошмарна армія занадто велика, щоб впоратися з нею без будь-якої допомоги."
Quest_Campaign_012_INTRO_GH_4,"Нещасні телепні!"" - сміється вона. ""Я-то думала, що ви хочете пліч-о-пліч зі мною створювати нове майбутнє, але, якщо вважаєте за краще здохнути разом з іншою військовою швалью, це можна влаштувати!"
Quest_Campaign_012_LIST,"Убийте Джексеру"
Quest_Campaign_012_NAME,"12 Площа Похмурої гавані Б"
Quest_Campaign_013_DESC,"Попросіть таємничу силу спрямувати вас до Джексери"
Quest_Campaign_013_INTRO,"Ви кілька разів ризикуєте впасти на смерть, піднімаючись по скелі до храму. Подолавши суворі вітри та нестійкі камені, ви нарешті досягаєте вершини та переступаєте поріг великого, просторого холу.<br><br>“Боюся, що зараз я не можу приймати відвідувачів,” — лунає безтілесний голос крізь кімнату. “Будь ласка, повертайтеся через дванадцять років. Тоді, можливо, я зможу вас прийняти.” Перш ніж ви встигаєте заперечити, перед вами матеріалізується група масивних кам’яних конструктів."
Quest_Campaign_013_INTRO_GH_1,"Розпитуючи знайомих про те, де може ховатися Джексера, ви дізнаєтеся від служителів святилища Великого дуба дещо цікаве."
Quest_Campaign_013_INTRO_GH_2,"Подейкують, що в Сторожових горах є храм якоїсь незримої сили, здатної дати відповідь на будь-яке питання. Тільки спершу прохачі повинні дістатися до цього храму, що не так-то просто, і пройти в ньому всі випробування."
Quest_Campaign_013_INTRO_GH_3,"Послідовники ордена Великого дуба зазвичай здійснюють паломництво до цього храму, де в них є можливість знайти будь-яке знання. Але ставити запитання вони відмовляються, оскільки ввіряють свою долю Великому дубу."
Quest_Campaign_013_INTRO_GH_4,"Служителі святилища дають вам останні вказівки, і ви вирушаєте в дорогу. Хоч дорогою вам ніхто поганий не зустрівся, шлях ваш легким не назвеш."
Quest_Campaign_013_LIST,"Знайдіть Джексеру"
Quest_Campaign_013_NAME,"13 Храм віщуна"
Quest_Campaign_014_DESC,"Розшукайте чарівницю Естер"
Quest_Campaign_014_INTRO,"Карта виявляється дуже точною. Глибоко в засніжених Мідних хребтах ви знаходите прохід, що веде у вузьку темну печеру. Вас злегка турбують вовчі сліди біля входу, але, зібравшись з духом, ви заходите всередину."
Quest_Campaign_014_INTRO_GH_1,"Раз вам потрібна заклинателька - вперед, на пошуки! Послухавши, що говорять про естерку в Котельному кварталі, ви врешті-решт опиняєтеся перед старою таверною ""Крива кістка""."
Quest_Campaign_014_INTRO_GH_2,"Відчинивши двері, ви бачите, що всередині будівля виглядає такою ж занедбаною, як і зовні: павутиння, зламані табуретки, пил, бруд, осколки розбитого посуду... Переступивши поріг, ви застигаєте як укопані, побачивши напівпрозору жінку, яка раптово з'явилася перед вами. ""Навіщо ви з'явилися сюди, найманці? Я не кликала вас, до того ж ви заважаєте моїм дослідженням."
Quest_Campaign_014_INTRO_GH_3,"Ви швидко пояснюєте, чому прийшли, і жінка ще більше насуплюється.<br><br>“О, подивіться на жінку Естер. Вона може виконати всі наші бажання. Все, що їй потрібно зробити, — це помахати руками, і наші найсміливіші мрії здійсняться.” Вона зітхає з роздратуванням і справді махає руками. “Залиште мене в спокої.”"
Quest_Campaign_014_INTRO_GH_4,"Ви не рухаєтеся з місця. Вона пильно дивиться на вас.<br><br>""Гаразд, може, тоді допоможете, замість того щоб заважати? Послуга за послугу, рука руку миє і все в такому дусі. Ці приказки ще не вийшли з ужитку?"" Жінка обертається і йде до зруйнованих сходів, але через кілька кроків розчиняється в повітрі."
Quest_Campaign_014_INTRO_GH_5,"Мені потрібна сфера з Крижаної печери в Мідних хребтах."" Голос лунає з порожнечі перед вами, немов господиня будинку нікуди й не йшла. ""Принесіть її мені, тоді й поговоримо.<br><br>До ваших ніг падає карта."" До речі, мене звати Хуртовина. Ступайте і без сфери не повертайтеся."
Quest_Campaign_014_LIST,"Знайдіть естер"
Quest_Campaign_014_NAME,"14 Крижана печера"
Quest_Campaign_014_Outro_GH_1,"Переступивши поріг занедбаної таверни, ви кличете Хуртовину. Але дім мовчить, і ви до певного часу блукаєте залом, роздивляючись розкиданий по підлозі різномастий мотлох, і толком не можете зрозуміти, як їй вдається працювати в таких умовах."
Quest_Campaign_014_Outro_GH_2,"Ви підходите до барної стійки, і тут перед вами постає Хуртовина зі сферою в руках."
Quest_Campaign_014_Outro_GH_3,"Цікаво..."" Схоже, вас вона навіть не помітила. ""Портал у наш світ, оточений сферичним бар'єром. Добре, що ви його по дорозі не розбили, інакше вас могло затягнути в царство істинного холоду."
Quest_Campaign_014_Outro_GH_4,"Перетворилися б на крижинки, не встигнувши вдихнути. Ну, або ще що гірше."
Quest_Campaign_014_Outro_GH_5,"Хуртовина продовжує кружляти біля сфери. ""Розуму незбагненно! Кому вистачило сили створити таку штуку?"" Естерка робить крок ліворуч і знову розчиняється в повітрі."
Quest_Campaign_014_Outro_GH_6,"Очікування тягнеться болісно повільно, але плюхатися задуми на останні вцілілі табуретки все одно не тягне. Час від часу ви кличете господиню, але марно."
Quest_Campaign_014_Outro_GH_7,"Ой, ви ще тут."" Обернувшись, ви виявляєте Хуртовину посеред кімнати. ""Чудово, я якраз хотіла провести над вами кілька дослідів, якщо ви не проти."" Вона робить крок вам назустріч. Ви відсахтуєтеся, оступаєтеся і падаєте на стіл, який розсипається під вами на друзки. ""Як діти, право! Усе буде добре, я впевнена. Ну, майже."
Quest_Campaign_014_Outro_GH_8,"Хурделиця пояснює, що хоче витягувати з іншого виміру чисту енергію й утримувати її в невеликій сфері, здатній збільшити силу будь-кого, хто нею володіє. Щоправда, на утримання знадобиться сила-силенна золота."
Quest_Campaign_014_Outro_GH_9,"Що ж, ви мені допомогли, і тепер, мабуть, я маю повернути боржок,"" зітхає Хурделиця. ""То чого ви там хотіли?"
Quest_Campaign_014_SCENARIO_MODIFIER_1,"Усі найманці починають із 3 дод. -1 модифікаторами атаки"
Quest_Campaign_015_DESC,"Дізнайтеся, які секрети приховує древній храм"
Quest_Campaign_015_INTRO,"Ви входите через великі кам’яні двері, сподіваючись знайти всередині щось, що збільшить вашу власну силу. Прокладаючи шлях коридором, ви помічаєте численні рунічні написи, вирізані на стінах. Їх важко розгледіти, але ви вірите, що вони проголошують ідеологію: “Сила породжує силу.” Щоб збільшити свою власну силу, спочатку потрібно продемонструвати її.<br><br>Ви відчиняєте наступні двері та стикаєтеся з цією ідеологією на практиці. Потужний Саввас матеріалізується перед вами і без слів починає направляти руйнівну силу у ваш бік. Вам доведеться довести свою вартість, щоб дістатися того, що сховано в цьому храмі."
Quest_Campaign_015_INTRO_GH_1,"Святилище, приховане у високогірній долині глибоко в Мідних хребтах, не так-то просто знайти, а вже дістатися до нього і поготів нелегко, але вам, на щастя, шлях відомий."
Quest_Campaign_015_INTRO_TRAVEL_1,"Воно стоїть на березі величезного замерзлого озера, оточеного високими стародавніми деревами. Фасад кам'яної будови прикрашають незліченні символи сили і могутності, але ви не можете визначити, чи присвячене це місце певному божеству або просто силі як такій."
Quest_Campaign_015_LIST,"Досліджуйте храм"
Quest_Campaign_015_NAME,"15 Святилище сили"
Quest_Campaign_016_DESC,"Визначте істинність чуток про Драконів"
Quest_Campaign_016_INTRO,"Щоб потрапити до Крижаної кручі, найвищої вершини Мідних хребтів, потрібно подолати північний перевал - вузький прохід між прямовисними скелями, що славиться частими лавинами та іншими ""приємностями"".<br><br>Ви обережно просуваєтеся вперед, ретельно виглядаючи найменші ознаки пастки. Тільки тому ви вчасно пірнаєте в укриття, коли з обриву на вас обвалюється купа валунів. Потім ви помічаєте нагорі групку іноксів, що з'явилися з потайної печери в горі.<br><br>Раз вже вам вдалося вижити після невдалої спроби задавити вас камінням, вони мають твердий намір перейти до більш традиційних способів!"
Quest_Campaign_016_INTRO_GH_1,"Заводячи мову про драконів, оповідачі зазвичай перші з сумнівом хитають головами, немов самі не вірять своїм словам."
Quest_Campaign_016_INTRO_GH_2,"Драконів начебто як не існує, але якогось велетенського крилатого звіра помітили на півночі, от ви й вирушаєте туди. А раптом вони все таки є?!"
Quest_Campaign_016_LIST,"Знайдіть Дракона"
Quest_Campaign_016_NAME,"16 Гірський перевал"
Quest_Campaign_017_DESC,"Храм Провидця свідчить про велике багатство, яке можна знайти..."
Quest_Campaign_017_INTRO,"У міру наближення, однак, вона не стає більшою: це просто клаптик суші, що виступає з води, порослий деревами й усіяний камінням. По інший його бік ви бачите уламки покинутого корабля. Кинувши якір, ви допливаєте до землі на ялику.<br><br>Варто вам ступити на пісок, як одна стріла зі свистом проноситься повз вас, а друга впивається в ногу. Вихопивши зброю, ви помічаєте натовп вермлінгів, що снують підліском, готових напасти будь-якої хвилини.<br><br>І тут лунає грізний ведмежий рев..."
Quest_Campaign_017_INTRO_GH_1,"У Туманному морі купа незвіданих островів, і більшість із них не варта уваги, якщо тільки ви не знаєте напевно, що саме там заховано скарб."
Quest_Campaign_017_INTRO_TRAVEL_1,"Морська подорож досить одноманітна. Ви прямуєте за зазначеними на карті віхами, поки на горизонті не виникає крихітна смужка землі."
Quest_Campaign_017_LIST,"Ідіть за величезним багатством обіцяним голосам"
Quest_Campaign_017_NAME,"17 Загублений острів"
Quest_Campaign_018_DESC,"Знайдіть темну силу, що отруює місто"
Quest_Campaign_018_INTRO,"Спуск не забирає багато часу, і ось ви вже стоїте перед давним-давно зламаною, погнутою решіткою. Запаливши смолоскип, ви йдете всередину вузьким, з невеликим ухилом проходом, намагаючись не наступати в стрімкий потік бурої рідини. Незабаром прохід розгалужується на кілька петляючих тунелів.<br><br>Ви озираєтеся, розмірковуючи, куди далі йти, і тут до вас доноситься відлуння шипіння, відбите від кам'яної кладки. Стиснувши пальці на зброї, ви намагаєтеся розгледіти силуети, що наближаються до вас у темряві."
Quest_Campaign_018_INTRO_GH_1,"Зупинившись на середині мосту Мовчання, стражник тицяє пальцем донизу, у ґрати під західним боком мосту. ""Ось вам найкращий спосіб потрапити в цю прокляту діру. Удачі, чи що... Вона вам знадобиться."
Quest_Campaign_018_LIST,"Досліджуйте міську каналізацію"
Quest_Campaign_018_NAME,"18 Покинута каналізація"
Quest_Campaign_019_DESC,"Запечатайте Сферу Стихійної Сили"
Quest_Campaign_019_INTRO,"Через день шляху ви знаходите на березі річки Зміїний поцілунок зарослий стародавній мавзолей.<br><br>""Каменелом справді був душкою. А що загинув під завалом каміння, так це витрати професії."" Розметавши тенета лози, що розрослася, ви заходите до склепу.<br><br>""От здорово-то!"" кидає в серцях Хуртовина. ""Прокляті культисти й сюди добралися! Теж на кадило зуби точать. Ну або просто не хочуть віддавати його вам.""<br><br>Ви здивовано дивитеся на Хурделицю, а вона тицяє пальцем у бік тіней, з яких з'являються похмурі силуети в чорних шатах."
Quest_Campaign_019_INTRO_GH_1,"Що-що ви хочете зробити?"" Хурделиця здіймає брови й окидає вас здивованим поглядом. ""Отже, ви знайшли портал у Вимір сили стихій і хочете його закрити?.."
Quest_Campaign_019_INTRO_GH_2,"Хурделиця підкидає в руках знайдену сферу. ""Так і бути,"" - зітхає вона. ""Допоможу. Судячи з вашого опису, портал такої сили буде непросто закрити."
Quest_Campaign_019_INTRO_GH_3,"Я можу і сама, звісно, але це займе неабияку кількість часу, а до того ж хтось може напасти з того боку, поки я готую заклинання."
Quest_Campaign_019_INTRO_GH_4,"Будь у мене кадило стихій... І для роботи воно б мені знадобилося! Отже, вирішено!"" Її очі засяяли."
Quest_Campaign_019_INTRO_GH_5,"Знавала я одного могутнього елементаліста, який володів такою штучкою. Він уже помер, але я відведу вас до його склепу. Тільки не здумайте використовувати кадило самостійно, це вам не дитяча іграшка!"
Quest_Campaign_019_LIST,"Закрийте портал"
Quest_Campaign_019_NAME,"19 Забутий склеп"
Quest_Campaign_019_SCENARIO_MODIFIER_1,"Усі найманці починають із 3 Прокляттями"
Quest_Campaign_020_DESC,"Ти знайшов її, тепер покінчи з цим"
Quest_Campaign_020_INTRO,"Намотавши лісом чимало кіл, ви опиняєтеся біля стародавнього мавзолею в його глибині. Вхід перегороджує стовбур великого дерева. Схоже, будівля зведена багатовікової давнини і давним-давно забута.<br><br>Протиснувшись повз дерево, ви входите в темні зали, запалюєте факел і мовчки чекаєте, вслухаючись у тишу. Зліва лунає слабкий шаркаючий звук. Ви підходите ближче і відчиняєте кам'яні двері. Світло смолоскипа вихоплює з темряви потворні фігури ожилих мерців. Схоже, Джексера всіма правдами і неправдами намагається відновити свою армію."
Quest_Campaign_020_INTRO_TRAVEL_1,"Без сторонньої допомоги ви не те що в житті не знайшли б Джексеру, ви взагалі давним-давно заблукали б у хащах Кинджального лісу!"
Quest_Campaign_020_LIST,"Убийте Джексеру"
Quest_Campaign_020_NAME,"20 Притулок некромантки"
Quest_Campaign_020_Outro_GH_1,"Отримавши голову Джексери, начальник варти видає вам щедру нагороду. ""Якщо цікаво, можу і ще роботи підкинути,"" похмуро повідомляє він."
Quest_Campaign_020_Outro_GH_2,"Помітивши блиск у ваших очах, він продовжує: ""Ну, насамперед, з півночі потоком летять донесення про величезних літаючих тварюк. Люди бояться драконів."" Він роздратовано струшує головою. ""Доберіться до північного перевалу і з'ясуйте, що там коїться."
Quest_Campaign_020_Outro_GH_3,"Є й одна справа в Похмурій гавані, якась біда трапилася в каналізації під Потопаючим ринком."
Quest_Campaign_020_Outro_GH_4,"Схоже, що колодязі в тій частині міста отруєні, а самі катакомби кишать зміями і живим слизом, що ускладнює подальші дослідження. Мені потрібно, щоб ви знайшли джерело ОТРУЄННЯ."
Quest_Campaign_021_DESC,"Ви не можете дозволити цьому жаху з інших світів жити..."
Quest_Campaign_021_INTRO,"Ви ще навіть за зброю не встигаєте схопитися, а демон уже дізнається про ваш намір.<br><br>""Божевільні!"" Від його голосу ваші голови мало не розриваються від болю. ""Кидати мені виклик у моєму власному палаці?! Що ж, це була ваша остання і найбільша помилка!""<br><br>Величезна фігура, спалахнувши, розчиняється в темряві. ""До мене, мої вірні слуги! Зітріть їх у порошок! Розвісьте гірлянди їхніх нутрощів по стінах палацу!"
Quest_Campaign_021_LIST,"Убийте Архідемона"
Quest_Campaign_021_NAME,"21 Диявольський трон"
Quest_Campaign_022_DESC,"Усередині знаходиться потужний предмет."
Quest_Campaign_022_INTRO,"У пошуках стародавнього артефакту ви прийшли сюди, до Храму стихій. Судячи з усього, тут прихована небачена сила, але це, загалом-то, все, що вам поки відомо. Ви входите в стару кам'яну будівлю, щоб на власні очі побачити, через що весь галас.<br><br>Всередині ви помічаєте зламані гілки і сліди в пилу. Хтось явно був тут не так давно. Озброївшись, ви наближаєтеся до головної зали, і тут із тіні виходять кілька фігур у плащах із капюшонами."
Quest_Campaign_022_LIST,"Добудьте артефакт"
Quest_Campaign_022_NAME,"22 Храм стихій"
Quest_Campaign_023_DESC,"Обшукайте каналізаційні глибини в пошуках джерела отрути"
Quest_Campaign_023_INTRO,"Але, навіть знаючи цю мову, навряд чи змогли б їх прочитати - кладка в жахливому стані, місцями не вистачає цілих шматків.<br><br>Зрештою ви опиняєтеся у великій кімнаті, повній понівечених механізмів, призначення яких вам нізащо не вгадати, хоч тричі голову зламайте. Навпроти видніються двері, але щойно ви робите крок у їхньому напрямку, як кімнату наповнює тривожний дзвін. Механізми вмить починають оживати. Судячи з усього, вони налаштовані так, щоб позбавлятися від порушників.<br><br>Тобто в даному випадку - від вас!"
Quest_Campaign_023_INTRO_TRAVEL_1,"Вирішивши дослідити лабіринти під каналізацією міста, ви запалюєте смолоскип і хоробро спускаєтеся в зловісні надра. Зруйнована цегляна кладка стін потроху поступається місцем старому химерному каменю із записами невідомою вам рунічною мовою."
Quest_Campaign_023_LIST,"Досліджуйте лабіринти під каналізацією міста"
Quest_Campaign_023_NAME,"23 Глибокі руїни"
Quest_Campaign_023_SCENARIO_MODIFIER_1,"Усі найманці починають із 3 дод. -1 модифікаторами атаки"
Quest_Campaign_024_DESC,"Прислухайтеся до цього спонукання, що кличе йти глибше..."
Quest_Campaign_024_INTRO,"У непроглядній темряві повна безмовність оглушує вас і позбавляє сили духу. Ви відчуваєте себе безповоротно втраченими, але тут Голос повертається з подальшими вказівками. Незручні запитання, однак, залишаються без відповідей.<br><br>Голос показує вам чудовиськ, що охороняють його. У вас умить народжується план: з'єднати всі зали в єдину галерею, щоб, відбиваючись відлунням від її стін, безтілесний в'язень знову набув фізичної форми і вигнав тих, хто його заточив...<br><br>Голос каже, що ви зовсім близько і слід бути напоготові."
Quest_Campaign_024_INTRO_TRAVEL_1,"Ви заходите в печеру, прислухаючись до голосу в голові. Він продовжує вабити вас, хоча передчуття небезпеки, як і раніше, невідв'язне. Чи не агнці ви, що йдуть на заклання? Голос відчуває ваш страх і заспокійливо запевняє: все добре, просто йдіть далі. У темряву."
Quest_Campaign_024_INTRO_TRAVEL_2,"І ви йдете, самі не знаючи чому..."
Quest_Campaign_024_INTRO_TRAVEL_3,"За допомогою думок і образів Голос розповідає вам, що невідома сила ув'язнила його глибоко під землею і, щоб звільнитися, йому потрібна ваша допомога. Гм, а хто, цікаво, і чому його полонив? Відчувши тінь недовіри у вашій допитливості, Голос замовкає."
Quest_Campaign_024_LIST,"Дослідіть печеру"
Quest_Campaign_024_NAME,"24 Галерея, що шепоче"
Quest_Campaign_024_Outro_Travel_1,"Як жест доброї волі Голос проводжає вас до виходу. Тепер, далеко від його гнітючого впливу, ви маєте вирішити:"
Quest_Campaign_024_Outro_Travel_2,"виконати його прохання або спробувати з'ясувати, що це за Голос, а не зв'язуватися наосліп із силами, яких ви не розумієте."
Quest_Campaign_025_DESC,"Закінчи свої пошуки крилатого звіра"
Quest_Campaign_025_INTRO,"Так і не зустрівши жодних слідів величезного крилатого звіра, ви в серцях запитуєте себе, навіщо ви сюди потягнулися, і вже подумуєте повернути назад, до тепла вогнища ""Сплячого лева"", але тут краєм вуха вловлюєте тихий скрип на вітрі... Може, це просто вітер зі свистом проноситься крізь ущелини.<br><br>Але це вже хоч щось. Ви йдете вперед і натикаєтеся на вовків. Їхнє біле хутро майже зливається зі сніговою завісою."
Quest_Campaign_025_INTRO_TRAVEL_1,"Мідні хребти - непривітне місце. За перевалом погода псується, і що далі на північ ви забираєтеся, то вона гірша."
Quest_Campaign_025_INTRO_TRAVEL_2,"Ваша поклажа нестерпно важка, холод пробирає до кісток,"
Quest_Campaign_025_INTRO_TRAVEL_3,"а ви тільки почали сходження на Крижану кручу..."
Quest_Campaign_025_LIST,"Досягти піку Крижаної кручі"
Quest_Campaign_025_NAME,"25 Сходження на Крижану кручу"
