Keys,"Солов'їна [ua-UA]"
Quest_JOTL_006_CorruptedResearch_NAME,"Осквернене дослідження"
Quest_JOTL_006_CorruptedResearch_DESC,"Час віднести цей неприємний шматок Кривавої Пухлини до Університету"
Quest_JOTL_006_CorruptedResearch_LIST,"Дослідити пухлину"
Quest_JOTL_006_CorruptedResearch_INTRO_TRAVEL_1,"Ваш день починається досить буденно — з доставки закривавленого шматка пухлини нудним дослідникам в Університеті. Ви йдете коридорами, ловлячи на собі здивовані та брудні погляди, поки не опиняєтеся біля дверей професора Голтріпа, провідного дослідника органічної алхімії, як вам сказали на рецепції."
Quest_JOTL_006_CorruptedResearch_INTRO_TRAVEL_2,"«Заходьте!» — ви чуєте тонкий грубий голос по інший бік дверей. Всередині ви знаходите старого Куатрила, який через згорблену спину здається ще меншим. Він копирсається у своєму брудному кабінеті, щось шукаючи. Коли він бачить вас, на його обличчі з'являється вираз огиди, але щойно ви дістаєте шматок пухлини, його очі широко розплющуються від подиву."
Quest_JOTL_006_CorruptedResearch_INTRO_TRAVEL_3,"Ви пояснюєте всю ситуацію... зникнення, Вермлінгів, чорний слиз, землетруси й пухлину. Ви пояснюєте, що є й інші пухлини, які використовуються в якійсь мерзенній, невідомій змові, після чого професор довго й мовчки сидить у роздумах, створюючи незручну паузу."
Quest_JOTL_006_CorruptedResearch_INTRO_TRAVEL_4,"«Що ж, тоді, — нарешті починає він, — нам потрібно якнайшвидше доставити це до моєї лабораторії. Там ми зможемо провести кілька тестів, щоб з'ясувати, з чого вона складається... визначити її унікальний алхімічний склад. Коли ми дізнаємося це, то, можливо, зможемо знайти спосіб вистежити інші пухлини»."
Quest_JOTL_006_CorruptedResearch_INTRO,"Ви передаєте йому пухлину, а потім, оскільки у вас немає інших зачіпок, годинами чекаєте в його кабінеті, розглядаючи безладне скупчення книг, паперів і брудних пляшок із смердючою рідиною.<br><br>Раптом ваш нудний день стає набагато цікавішим. Голтріп вривається назад у свій кабінет, його обличчя заляпане кров'ю. «У лабораторії сталося щось жахливе!» — кричить він вам і кидається коридором набагато швидше, ніж ви могли очікувати. Ви біжите слідом, і він показує на кімнату, що заросла кривавими наростами, де лежать тіла кількох асистентів і кишить зграя жахливих щурів, мутованих цими наростами.<br><br>«Воно продовжуватиме поширюватися! — панікує Голтріп. — Зробіть що-небудь, будь ласка!»"
Scenario_JOTL_006_CorruptedResearch_Success_1,"Ваша зброя й обличчя вкриті чорними та червоними смугами... нутрощами різноманітних істот, з якими ви навіть не думали битися до сьогоднішнього дня."
Quest_JOTL_006_CorruptedResearch_OUTRO_TRAVEL_1,"«Що ж, — чуєте ви знайомий грубий голос позаду, — це справді жахливий безлад, а загибель моїх студентів — страшна трагедія...» Голтріп замовкає, тужливо дивлячись у порожнечу, поки його погляд не падає на власні руки. У них він тримає плаский гладкий камінь, укритий липкою зеленою плівкою."
Quest_JOTL_006_CorruptedResearch_OUTRO_TRAVEL_2,"«Але є й хороші новини, — бурмоче він. — На основі наших тестів, і особливо бурхливої реакції пухлини на останній реагент, мне вдалося розробити метод виявлення близькості цього конкретного виду органіки». Він зважує камінь у руці. «Ось чим є це зелене світіння».<br><br>Потім він дає кожному з вас по слизькому каменю."
Quest_JOTL_006_CorruptedResearch_OUTRO_GH_1,"Ви розділяєтеся й проводите наступні кілька годин, обшукуючи вулиці міста, намагаючись виявити нові нарости. Зрештою ви визначаєте два місця: комплекс покинутих будівель на Тонучому Ринку та склад у Старих Доках."
Quest_JOTL_006_CorruptedResearch_OUTRO_GH_2,"Якщо пощастить, Роланд переховується в одному з цих місць, і ви зможете покласти всьому цьому край."
Quest_JOTL_007_SunkenTumor_NAME,"Затонула пухлина"
Quest_JOTL_007_SunkenTumor_DESC,"Ваші камені вказують на те, що під Тонучим Ринком лежить Пухлина, час її знищити."
Quest_JOTL_007_SunkenTumor_LIST,"Дослідити Пухлину на Тонучому Ринку"
Quest_JOTL_007_SunkenTumor_INTRO_TRAVEL_1,"Тонучий Ринок: великий район уздовж західного узбережжя Похмурої Гавані, куди ви йдете лише тоді, коли у вас немає грошей, щоб їх украли, або якщо хочете діяти поза увагою міської варти. Весь цей округ повільно занурюється в Купецьку затоку, і місто покинуло його, залишивши гнити самого по собі."
Quest_JOTL_007_SunkenTumor_INTRO,"У цьому районі повно покинутих будинків, наполовину затоплених мулом, але лише в одній групі будівель видно сліди зловісного наросту всередині. Ви міцніше стискаєте зброю та вибиваєте найближчі двері. Далі лунає какофонія вересків, і ви усвідомлюєте, що у ваше життя знову повернулися Вермлінги. Ба більше, у глибині кімнати причаїлися інші фанатики. Ще більше посіпак, які замислили щось недобре."
Scenario_JOTL_007_SunkenTumor_Room_3_1,"Ви кидаєте погляд на кривавий слід, що веде за двері, і знаєте, що лежить по той бік: ще одна зловісна пухлина, що пульсує й стікає огидною темною енергією. Ви готуєтеся до майбутнього бою і рушаєте вперед."
Scenario_JOTL_007_SunkenTumor_Success_1,"Пульсація пухлини сповільнюється, а потім і зовсім припиняється. Вона знищена, порубана та знівечена до невпізнання. Єдине логічне рішення — спалити рештки, щоб вона більше ніколи не отруювала місто."
Quest_JOTL_007_SunkenTumor_OUTRO_TRAVEL_1,"Ви виходите із затопленого житла в досить піднесеному настрої. Усе скінчено. Залишилося знищити ще одну пухлину, і тоді, сподіваємося, решта цих божевільних у рясах дадуть місту спокій."
Quest_JOTL_007_SunkenTumor_OUTRO_TRAVEL_2,"Але раптом ви бачите це на іншому боці затоки. Місце, де розташована інша пухлина у Старих Доках, злітає в повітря величезним стовпом вогню. За мить до вас долітає вибухова хвиля, збиваючи вас у грязюку."
Quest_JOTL_007_SunkenTumor_OUTRO_TRAVEL_3,"Ви спізнилися, і цей вибух, безперечно, лише початок. Вам потрібно якомога швидше дістатися до Старих Доків і зупинити те, що буде далі."
Quest_JOTL_008_HiddenTumor_NAME,"Прихована пухлина"
Quest_JOTL_008_HiddenTumor_DESC,"Ваші камені вказують на те, що під Старими Доками є Пухлина, час її знищити."
Quest_JOTL_008_HiddenTumor_LIST,"Дослідити Пухлину у Старих Доках"
Quest_JOTL_008_HiddenTumor_INTRO_TRAVEL_1,"Старі Доки: колись вони були сяючим символом процвітання молодого міста, але після того, як Гільдія Купців побудувала власні доки по той бік Стіни, вони перетворилися на символ бруду та злиднів. Хоча життя тут все ще вирує: завантажують і розвантажують не такі привабливі товари, як руда, шкури та риба... дуже багато смердючої риби."
Quest_JOTL_008_HiddenTumor_INTRO,"Занепад торгівлі призвів до того, що багато портових складів спорожніли, хоча рибний сморід нікуди не зник. Саме в одній із таких покинутих будівель ви виявляєте сліди чергового зловісного наросту. Ви готуєте зброю і вибиваєте двері."
Scenario_JOTL_008_HiddenTumor_Start_1,"Вашим очам потрібна секунда, щоб звикнути до темряви, але потім ви бачите безпомилкове поєднання кігтів, крил і щупалець, що ховаються за напівзруйнованими полицями з давно забутими товарами. Демони видають гортанний звук зі своїх неприродних пащ, і ви готуєтеся до нападу."
Scenario_JOTL_008_HiddenTumor_Room_2_1,"Ви кидаєте погляд на кривавий слід, що веде за двері, і знаєте, що лежить по той бік: ще одна зловісна пухлина, що пульсує й стікає огидною темною енергією. Ви готуєтеся до майбутнього бою і рушаєте вперед."
Scenario_JOTL_008_HiddenTumor_Success_1,"Пульсація пухлини сповільнюється, а потім і зовсім припиняється. Вона знищена, порубана та знівечена до невпізнання. Єдине логічне рішення — спалити рештки, щоб вона більше ніколи не отруювала місто."
Quest_JOTL_008_HiddenTumor_OUTRO_TRAVEL_1,"Ви виходите з покинутого складу в досить піднесеному настрої. Усе скінчено. Залишилося знищити ще одну пухлину, і тоді, сподіваємося, решта цих божевільних у рясах дадуть місту спокій."
Quest_JOTL_008_HiddenTumor_OUTRO_TRAVEL_2,"Але раптом ви бачите це на іншому боці затоки. Місце, де розташована інша пухлина на Тонучому Ринку, злітає в повітря величезним стовпом вогню. За мить до вас долітає вибухова хвиля, збиваючи вас на бруківку."
Quest_JOTL_008_HiddenTumor_OUTRO_TRAVEL_3,"Ви спізнилися, і цей вибух, безперечно, лише початок. Вам потрібно якомога швидше дістатися до Тонучого Ринку і зупинити те, що буде далі."
Quest_JOTL_009_ExplosiveEvolution_NAME,"Вибухова еволюція"
Quest_JOTL_009_ExplosiveEvolution_DESC,"Пухлина на Тонучому Ринку вибухнула, вам потрібно перевірити місце вибуху"
Quest_JOTL_009_ExplosiveEvolution_LIST,"Дослідити останню Пухлину"
Quest_JOTL_009_ExplosiveEvolution_INTRO,"Ви прибуваєте на місце події, але явно запізно. Покручений метал і обвуглене дерево зустрічають вас, коли ви спускаєтеся під уламки. Ви пробиваєтеся крізь обвалені проходи й, знайшовши останню пухлину, усвідомлюєте, що вона вкрилася твердою зовнішньою оболонкою... коконом."
Scenario_JOTL_009_ExplosiveEvolution_Start_1,"Позаду вас з'являється фанатик, сміючись із того, що план Роланда здійснився. Коли кокон вибухає, з'являється новий жах. Це вже не нежива істота, а якась чудовиська суміш кінцівок і зубів, що рухається з лютою ефективністю."
Scenario_JOTL_009_ExplosiveEvolution_Success_1,"Щупальця жаху шалено б'ються в конвульсіях, ніби намагаючись ухопитися за життя, що швидко покидає його гротескне тіло."
Scenario_JOTL_009_ExplosiveEvolution_Success_2,"Поки воно стікає кров'ю на кам'яну підлогу, його рухи стають млявішими, аж поки з останнім болісним вереском його жахлива туша не затихає. Навколо нього створені ним потвори нежиті падають на землю"
Scenario_JOTL_009_ExplosiveEvolution_Success_3,"І на цьому все скінчено. Наскільки ви можете судити, ви знищили жахливих кривавих істот, які тероризували місто, і тим самим завадили мерзенній групі, що стояла за зникненням коваля та багатьох інших."
Scenario_JOTL_009_ExplosiveEvolution_Success_4,"Ви нарешті можете перестати ігнорувати повідомлення вдови та розповісти міській варті про все, що вам відомо. Роланд, схоже, все ще живий, але, безперечно, варта зможе сама впоратися із зачисткою цього дурного культу, а ви зможете повернутися до того, щоб отримувати гроші за вбивство монстрів."
Quest_JOTL_009_ExplosiveEvolution_OUTRO_GH_1,"Насправді, йдучи до «Сплячого Лева» й розмірковуючи про гарячу ванну, ви згадуєте нещодавні чутки про когось на Березі Гачка, хто пропонує золото найманцям, котрі зголосяться битися в його «випробуванні». Можливо, варто це перевірити."
Quest_JOTL_009B_ExplosiveEvolution_NAME,"Вибухова еволюція"
Quest_JOTL_009B_ExplosiveEvolution_DESC,"Пухлина у Старих Доках вибухнула, вам потрібно перевірити місце вибуху"
Quest_JOTL_009B_ExplosiveEvolution_LIST,"Дослідити останню Пухлину"
Quest_JOTL_009B_ExplosiveEvolution_INTRO,"Ви прибуваєте на місце події, але явно запізно. Покручений метал і обвуглене дерево зустрічають вас, коли ви спускаєтеся під уламки. Ви пробиваєтеся крізь обвалені проходи й, знайшовши останню пухлину, усвідомлюєте, що вона вкрилася твердою зовнішньою оболонкою... коконом."
Quest_JOTL_009B_ExplosiveEvolution_OUTRO_GH_1,"Насправді, йдучи до «Сплячого Лева» й розмірковуючи про гарячу ванну, ви згадуєте нещодавні чутки про когось на Березі Гачка, хто пропонує золото найманцям, котрі зголосяться битися в його «випробуванні». Можливо, варто це перевірити."
Quest_JOTL_010_TheGauntlet_NAME,"Випробування"
Quest_JOTL_010_TheGauntlet_DESC,"Напевно, ви отримаєте золото, якщо зможете пройти це випробування?"
Quest_JOTL_010_TheGauntlet_LIST,"Взяти участь у «Випробуванні»"
Quest_JOTL_010_TheGauntlet_INTRO_TRAVEL_1,"Кожен, хто будує на Березі Гачка щось більше за брудний намет, мабуть, божевільний."
Quest_JOTL_010_TheGauntlet_INTRO_TRAVEL_2,"Ця територія за стінами Похмурої Гавані перебуває під постійною загрозою набігів Вермлінгів. Коли ви прибуваєте до «випробування», божевілля його творця стає абсолютно очевидним."
Quest_JOTL_010_TheGauntlet_INTRO_TRAVEL_3,"У нього явно бракує клепки в голові: він просторікує про якусь туманну неминучу загибель і своє бажання «відсіяти тих, хто не гідний зватися героями»."
Quest_JOTL_010_TheGauntlet_INTRO,"Ви й самі ніколи не прагнули бути героями, але він пропонує спокусливі 10 золотих кожному, хто зможе пробитися крізь його улюбленців та пастки. Тож ви відкидаєте сумніви й піднімаєтеся на хитку дерев'яну платформу. Вас зустрічають тремтячі чорні маси слизу разом із досить небезпечними на вигляд вибуховими пристроями."
Scenario_JOTL_010_TheGauntlet_Room_2_1,"Звук вибухів усе ще відлунює у ваших головах, коли ви пробираєтеся крізь напівзруйновані дерев'яні ворота на наступну платформу."
Scenario_JOTL_010_TheGauntlet_Room_2_2,"Тут вас зустрічає абсолютно новий вид божевілля. Кам'яні големи дивляться на вас мертвими очима, тоді як ліворуч із іржавих залізних форсунок вириваються хмари отруйного газу, що повільно пливуть уздовж вузьких риштувань."
Scenario_JOTL_010_TheGauntlet_Room_3_1,"Ви виходите на останню частину платформи, уявляючи, що взагалі може бути гіршим за те, що ви вже пережили.<br><br>І тут ви бачите демонів хаосу."
Scenario_JOTL_010_TheGauntlet_Room_3_2,"Ви на мить застигаєте на місці. Чому тут демони? Хто взагалі цей божевільний відшельник, який збудував цю штуку?"
Scenario_JOTL_010_TheGauntlet_Room_3_3,"Ви трусите головою і збираєтеся з силами, щоб подолати цих огидних істот.<br><br>І тут ви помічаєте механізми, прикріплені до пасток у кімнаті, які, здається, рухаються до вас.<br><br>Це теж має бути весело."
Scenario_JOTL_010_TheGauntlet_Success_1,"Ви вбиваєте останню істоту й сходите з платформи, шукаючи старого. Замість цього ви знаходите лише записку з невиразно знайомим почерком."
Scenario_JOTL_010_TheGauntlet_Success_2,"«На жаль, ви подолали пастки, які в минулому забезпечили мене такою кількістю трупів найманців. Гадаю, настав час рухатися далі."
Scenario_JOTL_010_TheGauntlet_Success_3,"Ви гідні суперники... без сумніву, саме тому ви змогли знищити мої експерименти... але ви все одно приречені, як і решта міста. Я раджу вам просто сісти й насолоджуватися хаосом... Роланд»"
Scenario_JOTL_010_TheGauntlet_Success_4,"Ви роздратовано зітхаєте. Можливо, це було наївно думати, що ця справа вже позаду. До того ж, цей покидьок навіть не заплатив вам."
Quest_JOTL_010_TheGauntlet_OUTRO_GH_1,"Ви несете записку до міської варти, все ще сподіваючись просто вмити руки від цієї ситуації, але у них інші плани."
Quest_JOTL_010_TheGauntlet_OUTRO_GH_2,"«О, добре, що ви прийшли, — каже капітан, ігноруючи записку, якою ви намагаєтеся помахати перед його носом. — Ми помітили нову активність цього культу крові. Схоже, якихось людей у червоних рясах бачили біля входів до каналізації у двох різних районах міста."
Quest_JOTL_010_TheGauntlet_OUTRO_GH_3,"Я не можу змусити нікого зі своїх людей спуститися туди, але якщо ваша відома гільдія найманців готова вирушити в каналізацію для розслідування, я готовий заплатити чималу суму. Якщо ви повернетеся живими, звісно."
Quest_JOTL_010_TheGauntlet_OUTRO_GH_4,"Лестощі зазвичай вас не схиляють до дій, але «чимала сума», безумовно, звучить привабливо. Капітан показує вам місця, де бачили людей у рясах: у нетрях Тонучого Ринку та на набагато приємніших вулицях Округу Мандрівників."
Quest_JOTL_011_DefiledSewers_NAME,"Осквернена каналізація"
Quest_JOTL_011_DefiledSewers_DESC,"Міська варта припустила, що ви знайдете тут когось із людей у червоних рясах"
Quest_JOTL_011_DefiledSewers_LIST,"Пошукати Фанатиків на Тонучому Ринку"
Quest_JOTL_011_DefiledSewers_INTRO,"Ви запалюєте смолоскипи, стоячи перед входом у каналізацію на Тонучому Ринку, наполовину занурені в якусь огидну рідину. Якщо й є щось гірше за Тонучий Ринок, то це каналізація під ним... розсадник Вермлінгів, змій та інших неприємних речей. І вона просто жахливо тхне.<br><br>Ви на мить задумуєтеся, що могли б піти в Округ Мандрівників, найгарніший район міста. Але ні, звісно ж ні, ви мали прийти саме сюди, бо не можете уявити кращого місця для пошуку цих нікчемних культистів крові.<br><br>Тож ви затискаєте носи і пробираєтеся всередину. Довго шукати неприємності не доводиться... гніздо змій та чорний слиз перекривають прохід."
Scenario_JOTL_011_DefiledSewers_Room_3_1,"Схоже, вам доведеться йти проти течії через головний тунель, але шлях перекритий величезними залізними шлюзовими воротами."
Scenario_JOTL_011_DefiledSewers_Room_3_2,"Не бачачи іншого виходу з цього жахливого місця, крім старих дверей на протилежному боці стічної річки, ви штовхаєте їх і сподіваєтеся на краще."
Scenario_JOTL_011_DefiledSewers_Room_3_3,"Натомість ви натрапляєте на лігво Вермлінгів. Але позаду них, біля тунелю в стіні, ви помічаєте іржавий важіль."
Scenario_JOTL_011_DefiledSewers_Misc_1,"Ви тягнете за важіль і чуєте сильний шум води позаду вас.<br><br>Озирнувшись, ви бачите, що заблокований раніше головний тунель тепер відкритий, але потік води, затиснутий за воротами, вирвався на волю, виходячи з берегів стічної річки."
Scenario_JOTL_011_DefiledSewers_Misc_2,"Шлях уперед відкритий. Вам просто доведеться боротися з течією, щоб дістатися туди."
Scenario_JOTL_011_DefiledSewers_Success_1,"У глибині тунелю, за воротами, вам вдається піднятися на вищу платформу, недосяжну для бурхливих потоків. Зрештою, вода спадає, але перед цим вона змиває решту монстрів у бік затоки."
Scenario_JOTL_011_DefiledSewers_Success_2,"Сподіваємося, далі в цих тунелях ви дізнаєтеся, що замислив цей культ крові. Вам також цікаво дізнатися про ту нору, яку Вермлінги вирили в бічній кімнаті. Можливо, її варто дослідити."
Quest_JOTL_012_BeguilingSewers_NAME,"Оманлива каналізація"
Quest_JOTL_012_BeguilingSewers_DESC,"Міська варта припустила, що ви знайдете тут когось із людей у червоних рясах"
Quest_JOTL_012_BeguilingSewers_LIST,"Пошукати Фанатиків в Округу Мандрівників"
Quest_JOTL_012_BeguilingSewers_INTRO_TRAVEL_1,"Округ Мандрівників, де найбагатші купці міста живуть у своїх величезних маєтках, безумовно, є найприємнішою частиною Похмурої Гавані."
Quest_JOTL_012_BeguilingSewers_INTRO_TRAVEL_2,"Ви скептично ставитеся до того, що район, який так пильно охороняє міська варта, може стати розсадником культистів, але, як сказав капітан, вартові рідко патрулюють каналізацію, тому цілком можливо, що там коїться щось лихе."
Quest_JOTL_012_BeguilingSewers_INTRO,"Коли ви входите, то дивуєтеся тому, наскільки бездоганними є тунелі. Щось тут не так. Каналізація не повинна бути такою чистою, до того ж ви відчуваєте дивну енергію, що виходить від колон у цій кімнаті. Придивившись при світлі смолоскипів, ви помічаєте висічені на них маленькі круглі руни. Тут точно криється якась магія, і єдине, що спадає вам на думку — зруйнувати колони та з'ясувати, що насправді відбувається."
Scenario_JOTL_012_BeguilingSewers_Misc_1,"Коли падає остання колона, далека стіна починає мерехтіти й то зникати, то з'являтися, і раптом виникають дві арки, що ведуть у темряву попереду."
Scenario_JOTL_012_BeguilingSewers_Misc_2,"До вашого носа доноситься різкий запах смерті, фіолетовий туман підкрадається до межі вашого зору, а з глибини випромінюється ще більше дивної енергії."
Scenario_JOTL_012_BeguilingSewers_Success_1,"Фіолетовий туман розсіюється, а разом з ним зникає будь-яка ілюзія чистої каналізації. Багатії виробляють відходи так само, як і всі інші."
Scenario_JOTL_012_BeguilingSewers_Success_2,"Усе це було лише ілюзією... навіть жахливі трупи та духи. Ви піднімаєте смолоскип, щоб краще роздивитися нове оточення, і помічаєте прохід, що веде глибше в надра цього місця."
Scenario_JOTL_012_BeguilingSewers_Success_3,"Можливо, саме це приховував увесь цей фасад. Ви ступаєте в прохід, маючи намір дізнатися, що задумав культ цього разу."
Quest_JOTL_012_BeguilingSewers_OUTRO_GH_1,"Невдовзі ви натрапляєте на просту драбину, що веде назад на поверхню, але вона, схоже, виводить прямо в один із маєтків."
Quest_JOTL_012_BeguilingSewers_OUTRO_GH_2,"Проходячи повз, ви не можете не помітити можливість прокрастися в чийсь розкішний будинок і трохи розбагатіти."
Quest_JOTL_013_VileHarvest_NAME,"Мерзенні жнива"
Quest_JOTL_013_VileHarvest_DESC,"Продовжуйте рухатися глибше в каналізацію під Тонучим Ринком"
Quest_JOTL_013_VileHarvest_LIST,"Потрібно дослідити глибшу каналізацію"
Quest_JOTL_013_VileHarvest_INTRO,"Ви досить довго йдете головним тунелем. Потік нечистот у ньому з часом слабшає, поки вода майже повністю не зникає, залишаючи лише густий, їдкий шар слизу.<br><br>І тут на межі світла вашого смолоскипа ви помічаєте рух попереду. Маленькі істоти — спочатку ви думаєте, що це знову Вермлінги, але ці істоти мокрі — живі кульки якоїсь темно-червоної рідини. Це точно справа рук культу крові."
Scenario_JOTL_013_VileHarvest_Room_3_1,"Після того, як ви з боєм пробилися крізь цих огидних маленьких істот із крові, ви відчуваєте полегшення, не знайшовши їх в останній залі. Проте ви знайшли інших фанатиків, які знову проводять якийсь зловісний ритуал."
Scenario_JOTL_013_VileHarvest_Room_3_2,"Щось тут точно негаразд.<br><br>Чорний слиз накопичується в басейні зі смердючою водою в глибині кімнати, і поки культисти співають, ви бачите, як усередині цього слизу росте червона маса."
Scenario_JOTL_013_VileHarvest_Room_3_3,"За допомогою цього темного ритуалу вони створюють мерзенних істот із крові, і це потрібно зупинити."
Scenario_JOTL_013_VileHarvest_Success_1,"Цю огидну фабрику закрито. Усі мерзенні створіння розбиті й розкидані по підлозі. Проте це ще не кінець."
Scenario_JOTL_013_VileHarvest_Success_2,"Ці культисти відмовляються розмовляти чи видавати Роланда, тому єдиний вихід — рухатися вперед. Попереду ще один прохід веде глибше в цей просочений кров'ю кошмар. На вас чекає ще більше зла. Ви відчуваєте це всім тілом."
Quest_JOTL_014_ToxicHarvest_NAME,"Токсичні жнива"
Quest_JOTL_014_ToxicHarvest_DESC,"Продовжуйте рухатися глибше в каналізацію під Округом Мандрівників"
Quest_JOTL_014_ToxicHarvest_LIST,"Потрібно дослідити глибшу каналізацію"
Quest_JOTL_014_ToxicHarvest_INTRO,"Зважаючи на те, скільки зусиль було докладено, щоб приховати цей каналізаційний прохід, ви впевнені, що він веде до чогось важливого. Якщо пощастить, ви знайдете останні залишки культу крові, що туляться в кутку, і покінчите з ними раз і назавжди.<br><br>Звісно, ніщо не буває так просто. Після нетривалого дослідження ви починаєте чути спів і шипіння змій у тунелі попереду."
Scenario_JOTL_014_ToxicHarvest_Start_1,"Ви йдете вперед і вимагаєте сказати, де Роланд, але ці одержимі кров'ю ідіоти не надто балакучі."
Scenario_JOTL_014_ToxicHarvest_Success_1,"Ви намагаєтеся відігнати образ кривавих кошмарів, які вириваються зі своїх зміїних носіїв під посмішки та спостереження фанатиків. Кров, що набула свідомості? Та ще й з якимось мерзенним наміром? Ця думка сповнює вас гнітючим відчуттям неминучості"
Scenario_JOTL_014_ToxicHarvest_Success_2,"І це було ще не найгірше. Ці культисти відмовляються говорити чи видавати Роланда, тому єдиний вихід — рухатися вперед. Попереду ще один прохід веде глибше в цей просочений кров'ю кошмар. На вас чекає ще більше зла. Ви відчуваєте це всім тілом"
Quest_JOTL_015_TaintedBlood_NAME,"Осквернена кров"
Quest_JOTL_015_TaintedBlood_DESC,"Ваша подорож каналізацією привела сюди, що ж на вас чекає?"
Quest_JOTL_015_TaintedBlood_LIST,"Зачистити найглибшу частину каналізації"
Quest_JOTL_015_TaintedBlood_INTRO,"«Отже, ви знову прийшли зруйнувати мою роботу, — лунає голос крізь темні тунелі каналізації. Це голос того божевільного відшельника з Берега Гачка... голос Роланда... і він сочиться отрутою. — Якби ви тільки розуміли, якими марними були ваші зусилля. Насправді, не просто марними, а й корисними».<br><br>«Ми навіть не усвідомлювали, який славетний дар наш бог підніс нам до того інциденту в Університеті. Подумати тільки, що осквернення, яке виростили ми, за правильних умов могло б поширюватися так швидко, заражаючи нових носіїв і перетворюючи їх на Його образ».<br><br>Ви просуваєтеся вперед, помахуючи смолоскипом, щоб освітити кожен куточок темряви, але не можете знайти джерело голосу.<br><br>«І ми вже вилили ЙОГО дар у водогін. Занадто пізно. Незабаром кожен у місті стане рабом Бога Крові, і тоді ви зможете просто спостерігати за хаосом!»"
Scenario_JOTL_015_TaintedBlood_Start_1,"Ви з криком кидаєтеся вперед, прямо в нішу, де знаходите людину в рясі, що схилилася перед алхімічним столом."
Scenario_JOTL_015_TaintedBlood_Start_2,"Його пробірки переповнюються чорною рідиною, яка вихлюпується на кам'яну підлогу, стікаючи маленькими струмочками під двері за ним. Це не Роланд, але ви вирішуєте, що все одно варто його вбити."
Scenario_JOTL_015_TaintedBlood_Success_1,"Ваша тріумфальна перемога виявляється недовговічною. Ви перебуваєте в зоні під Похмурою Гаванню, де вода з Тихої Річки відводиться в резервуари для постачання міста."
Scenario_JOTL_015_TaintedBlood_Success_2,"Оглядаючи розбите обладнання, ви бачите струмені чорної рідини, що тягнуться з перекинутих склянок у проточну воду, і стає зрозуміло, що міський водогін отруєний. Зараз ви нічого не можете зробити, щоб змінити це."
Scenario_JOTL_015_TaintedBlood_Success_3,"Ви обшукуєте понівечені тіла культистів у пошуках Роланда, але знаходите лише трохи розсипаного золота."
Quest_JOTL_015_TaintedBlood_OUTRO_TRAVEL_1,"Єдине, що залишається зробити — віднести зразок рідини назад до Університету. Вони втягнули вас у цю халепу, і залишається сподіватися, що професор Гальтріп зможе розробити протиотруту для розповсюдження, перш ніж усі жителі міста перетворяться на чудовиськ."
Quest_JOTL_016_MixedResults_NAME,"Змішані результати"
Quest_JOTL_016_MixedResults_DESC,"Поверніться до Університету, можливо, вони зможуть допомогти місту"
Quest_JOTL_016_MixedResults_LIST,"Знову відвідати професора Гальтріпа"
Quest_JOTL_016_MixedResults_INTRO,"Ви вриваєтеся до кабінету професора Гальтріпа, тримаючи в руках флакон із чорною рідиною. Старий Куатрил виглядає помітно стривоженим, але ви не втрачаєте часу і швидко та спокійно пояснюєте йому ситуацію, аж поки на його обличчі не з'являється рішучий вираз.<br><br>«Знову мені доводиться рятувати місто, га? — запитує він, підвівшись з-за свого захаращеного столу. — І у нас немає така розкіш, як час. Думаю, ми зможемо провести кілька тестів, але це буде непросто — і не дуже приємно».<br><br>«Нам потрібно буде ввести кільком піддослідним різні варіанти цього токсину і поспостерігати, як они реагують на різні подразники. Маючи достатньо даних, ми зможемо створити суміш, яка зупинить трансформацію».<br><br>Він виходить зі свого кабінету і веде вас коридором до лабораторії. «Ось тут ви й знадобитеся для створення подразників. Ваше попереднє втручання в моїй лабораторії дуже допомогло прискорити збір даних, тож тут мені потрібно щось подібне. Звісно, все буде контрольованіше, але нам потрібно зібрати якомога більше даних і якомога швидше, тому ми матимемо справу з великими групами піддослідних одночасно»."
Scenario_JOTL_016_MixedResults_Start_1,"Гальтріп передає чорний флакон новому асистенту, а потім направляє вас до невеликої лабораторії. Після того як ви входите, він зачиняє та замикає двері з іншого боку. «Не хвилюйтеся, випробування закінчаться швидше, ніж ви думаєте. Почнімо з першої фази»."
Scenario_JOTL_016_MixedResults_Room_Misc_1,"Гальтріп стукає по склу вікна між кімнатами й показує вам великий палець вгору."
Scenario_JOTL_016_MixedResults_Room_Misc_2,"«Почати другу фазу!» — наполегливо викрикує він. З огляду на обставини, він виглядає набагато радіснішим, ніж мав би бути."
